region,year,capture_mass_level
Республика Мордовия,2012,585.0
Республика Татарстан,2012,310.0
Удмуртская Республика,2012,11.0
Чувашская Республика,2012,10.0
Кировская область,2012,121.0
Нижегородская область,2012,105.0
Оренбургская область,2012,619.0
Пензенская область,2012,26.0
Самарская область,2012,449.0
Саратовская область,2012,422.0
Ульяновская область,2012,71.0
Курганская область,2012,90.0
Свердловская область,2012,9603.0
Тюменская область,2012,53.0
Челябинская область,2012,3873.0
Республика Алтай,2012,15.0
Республика Бурятия,2012,698.0
Республика Тыва,2012,22.0
Республика Хакасия,2012,188.0
Алтайский край,2012,822.0
Красноярский край,2012,6770.0
Иркутская область,2012,3251.0
Кемеровская область,2012,5334.0
Новосибирская область,2012,1062.0
Омская область,2012,1913.0
Томская область,2012,325.0
Республика Саха (Якутия),2012,433.0
Приморский край,2012,2129.0
Хабаровский край,2012,640.0
Амурская область,2012,321.0
Магаданская область,2012,45.0
Сахалинская область,2012,275.0
Еврейская автономная область,2012,154.0
Чукотский автономный округ,2012,29.0
Белгородская область,2013,848.0
Брянская область,2013,587.0
Владимирская область,2013,14.0
Воронежская область,2013,53.0
Ивановская область,2013,25.0
Калужская область,2013,148.0
Костромская область,2013,25.0
Курская область,2013,41.0
Липецкая область,2013,1353.0
Московская область,2013,1024.0
Орловская область,2013,5.0
Рязанская область,2013,493.0
Смоленская область,2013,102.0
Тамбовская область,2013,12.0
Тверская область,2013,19.0
Тульская область,2013,568.0
Ярославская область,2013,51.0
